district_id,district_name,state,lat,lon
TN-01,Chennai,Tamil Nadu,13.0827,80.2707
TN-02,Coimbatore,Tamil Nadu,11.0168,76.9558
TN-03,Madurai,Tamil Nadu,9.9252,78.1198
KA-01,Bengaluru Urban,Karnataka,12.9716,77.5946
KA-02,Mysuru,Karnataka,12.2958,76.6394
TS-01,Hyderabad,Telangana,17.3850,78.4867
TS-02,Warangal,Telangana,17.9689,79.5941
AP-01,Visakhapatnam,Andhra Pradesh,17.6868,83.2185
AP-02,Krishna,Andhra Pradesh,16.5062,80.6480
MH-01,Mumbai,Maharashtra,19.0760,72.8777
MH-02,Pune,Maharashtra,18.5204,73.8567
MH-03,Nagpur,Maharashtra,21.1458,79.0882
MH-04,Nashik,Maharashtra,19.9975,73.7898
GJ-01,Ahmedabad,Gujarat,23.0225,72.5714
GJ-02,Surat,Gujarat,21.1702,72.8311
GJ-03,Vadodara,Gujarat,22.3072,73.1812
RJ-01,Jaipur,Rajasthan,26.9124,75.7873
RJ-02,Jodhpur,Rajasthan,26.2389,73.0243
RJ-03,Udaipur,Rajasthan,24.5854,73.7125
UP-01,Lucknow,Uttar Pradesh,26.8467,80.9462
UP-02,Kanpur Nagar,Uttar Pradesh,26.4499,80.3319
UP-03,Varanasi,Uttar Pradesh,25.3176,82.9739
UP-04,Agra,Uttar Pradesh,27.1767,78.0081
BR-01,Patna,Bihar,25.5941,85.1376
BR-02,Gaya,Bihar,24.7955,84.9994
JH-01,Ranchi,Jharkhand,23.3441,85.3096
JH-02,East Singhbhum,Jharkhand,22.8046,86.2029
WB-01,Kolkata,West Bengal,22.5726,88.3639
WB-02,Howrah,West Bengal,22.5958,88.2636
OD-01,Khordha,Odisha,20.2961,85.8245
OD-02,Cuttack,Odisha,20.4625,85.8830
CG-01,Raipur,Chhattisgarh,21.2514,81.6296
MP-01,Bhopal,Madhya Pradesh,23.2599,77.4126
MP-02,Indore,Madhya Pradesh,22.7196,75.8577
MP-03,Gwalior,Madhya Pradesh,26.2183,78.1828
CH-01,Chandigarh,Chandigarh,30.7333,76.7794
PB-01,Amritsar,Punjab,31.6340,74.8723
PB-02,Ludhiana,Punjab,30.9010,75.8573
HP-01,Shimla,Himachal Pradesh,31.1048,77.1734
UK-01,Dehradun,Uttarakhand,30.3165,78.0322
JK-01,Srinagar,Jammu and Kashmir,34.0837,74.7973
JK-02,Jammu,Jammu and Kashmir,32.7266,74.8570
AS-01,Kamrup Metropolitan,Assam,26.1445,91.7362
MN-01,Imphal West,Manipur,24.8170,93.9368
ML-01,East Khasi Hills,Meghalaya,25.5788,91.8933
MZ-01,Aizawl,Mizoram,23.7271,92.7176
NL-01,Kohima,Nagaland,25.6751,94.1086
TR-01,West Tripura,Tripura,23.8315,91.2868
AR-01,Papum Pare,Arunachal Pradesh,27.0844,93.6053
SK-01,East Sikkim,Sikkim,27.3389,88.6065
GA-01,North Goa,Goa,15.4909,73.8278
KL-01,Thiruvananthapuram,Kerala,8.5241,76.9366
KL-02,Ernakulam,Kerala,9.9312,76.2673
KL-03,Kozhikode,Kerala,11.2588,75.7804
DL-01,New Delhi,Delhi,28.6139,77.2090
HR-01,Faridabad,Haryana,28.4089,77.3178
HR-02,Gurugram,Haryana,28.4595,77.0266
AN-01,South Andaman,Andaman and Nicobar Islands,11.6234,92.7265
PY-01,Puducherry,Puducherry,11.9416,79.8083
LA-01,Leh,Ladakh,34.1526,77.5770
